id,autodel_analysis_age_limit,autodel_analysis_limit,autodel_overwrite_global,created,description_xml,last_analysis_id,name_xml,next_sequence_id,parent_id,path_xml
417,"","",False,2019-04-16 11:48:55.975770+09:00,"",1735,TCC803x_MICOM_V170,3,1,/TCC803x_MICOM_V170
419,"","",False,2019-05-02 15:02:10.214689+09:00,"",3513,tgif,15,1,/tgif
420,"","",False,2019-05-03 18:16:20.931029+09:00,"",1877,codesonar_micom,23,1,/codesonar_micom
421,"","",False,2019-05-07 10:44:18.650063+09:00,"",1973,TCC803x_MICOM_V150,5,1,/TCC803x_MICOM_V150
422,"","",False,2019-05-10 17:46:53.942106+09:00,"",1755,ISO26262_jungmo_20190510,2,1,/ISO26262_jungmo_20190510
423,"","",False,2019-05-13 15:58:04.854375+09:00,"",1776,tgif_0513,10,1,/tgif_0513
425,"","",False,2019-05-13 20:01:09.303229+09:00,"",1891,Humax_TCC803x_BSP_kernel_gb,6,1,/Humax_TCC803x_BSP_kernel_gb
427,"","",False,2019-05-15 15:48:33.061727+09:00,"",1868,tcradio_app_v2p0_hdradio,23,1,/tcradio_app_v2p0_hdradio
428,"","",False,2019-05-16 12:24:33.897772+09:00,"",1925,tc_hdradio_framework_v1p0_hdradio,7,1,/tc_hdradio_framework_v1p0_hdradio
441,"","",False,2019-05-27 12:18:00.456356+09:00,"",1937,Humax_TCC803x_BSP_u-boot_11,3,1,/Humax_TCC803x_BSP_u-boot_11
443,"","",False,2019-05-27 14:38:38.914992+09:00,"",1898,Humax_TCC803x_BSP_u-boot_143,2,1,/Humax_TCC803x_BSP_u-boot_143
445,"","",False,2019-05-27 16:16:35.270387+09:00,"",1938,Humax_TCC803x_BSP_kernel_11,3,1,/Humax_TCC803x_BSP_kernel_11
449,"","",False,2019-05-28 15:07:29.083093+09:00,"",1918,Humax_TCC803x_BSP_u-boot_jyp,2,1,/Humax_TCC803x_BSP_u-boot_jyp
454,"","",False,2019-05-30 19:33:07.436647+09:00,"",3703,tc_hdradio_framework_v0p3p0_hdradio,12,1,/tc_hdradio_framework_v0p3p0_hdradio
458,"","",False,2019-06-03 11:14:18.202033+09:00,"",1934,tc-dbgen,2,1,/tc-dbgen
459,"","",False,2019-06-04 09:45:08.282777+09:00,"",7870,TCC803x_MISRA2012_v150,74,1,/TCC803x_MISRA2012_v150
460,"","",False,2019-06-04 15:02:36.301495+09:00,"",1944,Humax_TCC803x_BSP_u-boot_common,2,1,/Humax_TCC803x_BSP_u-boot_common
461,"","",False,2019-06-04 15:05:39.981057+09:00,"",1945,Humax_TCC803x_BSP_kernel_common,2,1,/Humax_TCC803x_BSP_kernel_common
462,"","",False,2019-06-04 18:23:01.092583+09:00,"",1946,micom_tcc803x_190604,2,1,/micom_tcc803x_190604
464,"","",False,2019-06-05 12:07:06.965871+09:00,"",2837,Humax_TCC803x_BSP_u-boot_req,9,1,/Humax_TCC803x_BSP_u-boot_req
465,"","",False,2019-06-05 12:16:15.496344+09:00,"",2834,Humax_TCC803x_BSP_kernel_req,5,1,/Humax_TCC803x_BSP_kernel_req
467,"","",False,2019-06-10 17:38:09.611886+09:00,"",2701,TCC8131_PC,5,1,/TCC8131_PC
468,"","",False,2019-06-11 11:48:11.661830+09:00,"",2038,tgif20190611,6,1,/tgif20190611
469,"","",False,2019-06-11 13:49:26.488174+09:00,"",2039,TCC803x_MISRA2012_v151,2,1,/TCC803x_MISRA2012_v151
470,"","",False,2019-06-12 15:27:26.762024+09:00,"",2043,TCC803x_ISO26262_CS,3,1,/TCC803x_ISO26262_CS
471,"","",False,2019-06-12 15:53:18.268967+09:00,"",9416,TCC8030_ISO26262_CS,38,1,/TCC8030_ISO26262_CS
472,"","",False,2019-06-12 16:50:39.476227+09:00,"",2358,TCC8130_CANDriver_Test,16,1,/TCC8130_CANDriver_Test
475,"","",False,2019-06-16 03:50:47.332482+09:00,"",2056,ABSP_tcc803x_u-boot_00,2,1,/ABSP_tcc803x_u-boot_00
478,"","",False,2019-06-19 15:03:07.234487+09:00,"",2059,TCC_CP_190619,2,1,/TCC_CP_190619
479,"","",False,2019-06-19 15:12:56.622640+09:00,"",2085,TCC_CP_190619.2,19,1,/TCC_CP_190619.2
480,"","",False,2019-06-20 11:54:53.513707+09:00,"",2312,misra2012_humax_qac,21,1,/misra2012_humax_qac
481,"","",False,2019-06-20 16:26:40.566459+09:00,"",2155,DTCC803x_MISRA2012_v150,7,1,/DTCC803x_MISRA2012_v150
482,"","",False,2019-06-20 16:32:49.524740+09:00,"",2151,MICOM_IPC_190620.1,34,1,/MICOM_IPC_190620.1
483,"","",False,2019-06-20 17:06:16.904841+09:00,"",2103,TCC803x_MISRA2012_ym,4,1,/TCC803x_MISRA2012_ym
484,"","",False,2019-06-21 08:42:45.766474+09:00,"",2105,TEST_PMIO,2,1,/TEST_PMIO
485,"","",False,2019-06-21 08:54:29.388354+09:00,"",2110,TESTPMIO,4,1,/TESTPMIO
486,"","",False,2019-06-21 09:12:33.553414+09:00,"",2115,TESTPMIO2,2,1,/TESTPMIO2
487,"","",False,2019-06-21 09:44:22.768606+09:00,"",2123,TCC803x_MISRA2012_PMIO,2,1,/TCC803x_MISRA2012_PMIO
488,"","",False,2019-06-21 09:47:22.907668+09:00,"",2124,TCC803x_MISRA2012_PMIO2,2,1,/TCC803x_MISRA2012_PMIO2
489,"","",False,2019-06-21 16:03:03.974024+09:00,"",2152,LYMTCC803x_M.conf,7,1,/LYMTCC803x_M.conf
490,"","",False,2019-06-24 16:14:19.361853+09:00,"",2178,LYMTCC803x_M,20,1,/LYMTCC803x_M
491,"","",False,2019-06-27 10:52:49.773029+09:00,"",2316,modemanager,22,1,/modemanager
492,"","",False,2019-06-28 09:36:18.135399+09:00,"",2217,TCC803x_JM_Humax,13,1,/TCC803x_JM_Humax
493,"","",False,2019-06-28 17:21:36.078265+09:00,"",2241,libtcipcctrl,9,1,/libtcipcctrl
495,"","",False,2019-07-01 11:59:23.766051+09:00,"",2246,tc-micom-manager,6,1,/tc-micom-manager
497,"","",False,2019-07-02 09:55:00.477399+09:00,"",3721,tms_analysis_190702,35,1,/tms_analysis_190702
498,"","",False,2019-07-02 10:55:02.322841+09:00,"",9271,libdbgen,21,1,/libdbgen
499,"","",False,2019-07-03 14:13:52.875269+09:00,"",2737,cs_misra2012_v150,25,1,/cs_misra2012_v150
504,"","",False,2019-07-08 20:38:52.670318+09:00,"",3384,tcc803x_iso26262_timer,41,1,/tcc803x_iso26262_timer
507,"","",False,2019-07-09 15:09:06.541797+09:00,"",2539,MicomIpcMisra2012,40,1,/MicomIpcMisra2012
510,"","",False,2019-07-09 16:46:00.329726+09:00,"",2350,tcc803x_iso26262_watchdog,2,1,/tcc803x_iso26262_watchdog
511,"","",False,2019-07-09 16:50:14.645463+09:00,"",2631,TCC803x_MICOM_0709,164,1,/TCC803x_MICOM_0709
513,"","",False,2019-07-09 17:44:04.214321+09:00,"",2460,TCC803x_iso26262_kbs,12,1,/TCC803x_iso26262_kbs
515,"","",False,2019-07-09 18:39:57.090271+09:00,"",3115,TCC803x_CANDriver_Test_20190709,11,1,/TCC803x_CANDriver_Test_20190709
522,"","",False,2019-07-17 10:24:43.293499+09:00,"",2697,TCC803x_MICOM_v2.x_0717,60,1,/TCC803x_MICOM_v2.x_0717
523,"","",False,2019-07-17 12:03:05.986158+09:00,"",2733,tcc803x_iso26262_pwm,3,1,/tcc803x_iso26262_pwm
